RANK,COMPANY,EXECUTIVE NAME,NET WORTH,COUNTRY
175,Fintech,David Velez & family,11800000000.0,Colombia
176,Luxury goods,Johann Rupert & family,11700000000.0,South Africa
177,"Retail, media",Ricardo Salinas Pliego & family,11700000000.0,Mexico
178,Gas stations,Judy Love & family,11600000000.0,United States
179,Mining,Yu Yong,11600000000.0,China
180,Real estate,Manuel Villar,11600000000.0,Philippines
181,"Banks, real estate",Andrew Beal,11600000000.0,United States
182,Online retail,Michael Rubin,11500000000.0,United States
183,Mining,Ivan Glasenberg,11300000000.0,Switzerland
184,Walmart,Nancy Walton Laurie,11200000000.0,United States
185,Paints,Goh Cheng Liang,11200000000.0,Singapore
186,Money management,Ken Fisher,11200000000.0,United States
187,E-commerce,Sky Xu,11200000000.0,China
188,Real estate,Kwong Siu-hing,11200000000.0,Hong Kong
189,"Manufacturing, New England Patriots",Robert Kraft,11100000000.0,United States
190,"Biotech, investments",Ernesto Bertarelli,11100000000.0,Switzerland
191,Microsoft,Melinda French Gates,11000000000.0,United States
192,Casinos/hotels,Lui Che Woo,11000000000.0,Hong Kong
193,Investments,Mikhail Prokhorov,11000000000.0,Russia
194,Hardware stores,Eric Smidt,10900000000.0,United States
195,Media,Donald Newhouse,10900000000.0,United States
196,Walmart,Ann Walton Kroenke,10800000000.0,United States
197,Chick-fil-A,Trudy Cathy White,10800000000.0,United States
197,Chick-fil-A,Dan Cathy,10800000000.0,United States
197,Chick-fil-A,Bubba Cathy,10800000000.0,United States
200,Insurance,Patrick Ryan,10700000000.0,United States
201,Telecom,Sunil Mittal,10700000000.0,India
202,Software,Mike Cannon-Brookes,10700000000.0,Australia
203,Gold,Suleiman Kerimov & family,10700000000.0,Russia
204,Finance,Antony Ressler,10600000000.0,United States
205,Steel,Viktor Rashnikov,10600000000.0,Russia
206,Samsung,Jay Y. Lee,10600000000.0,South Korea
207,Agriculture,Harry Stine,10600000000.0,United States
208,Pharmaceuticals,Pankaj Patel,10500000000.0,India
209,Oil,Leonid Fedun,10500000000.0,Russia
210,Beer,Marcel Herrmann Telles & family,10400000000.0,Brazil
211,Manufacturing,Friedhelm Loh,10400000000.0,Germany
212,Manufacturing,Anthony Pratt,10400000000.0,Australia
213,Software,Scott Farquhar,10400000000.0,Australia
214,Discount brokerage,Charles Schwab,10300000000.0,United States
215,Ports,Enrique Razon Jr.,10300000000.0,Philippines
216,Software,James Goodnight,10300000000.0,United States
217,Trading,Alexander Gerko,10300000000.0,United Kingdom
218,Mortgage lender,Mat Ishbia,10300000000.0,United States
219,Cryptocurrency,Brian Armstrong,10200000000.0,United States
220,Used cars,Ernest Garcia II,10200000000.0,United States
221,Medical devices,Carl Cook,10200000000.0,United States
222,Security software,Jay Chaudhry,10200000000.0,United States
223,Zara,Sandra Ortega Mera,10100000000.0,Spain
224,"Internet, telecom",Xavier Niel,10100000000.0,France
225,Packaging,Graeme Hart,10100000000.0,New Zealand
226,Real estate,Stephen Ross,10100000000.0,United States
227,Fidelity,Elizabeth Johnson,10100000000.0,United States
228,Sporting goods retail,John Morris,10000000000.0,United States
229,Shoes,Zhang Congyuan,10000000000.0,Taiwan
230,"Alcohol, real estate",Charoen Sirivadhanabhakdi,9900000000.0,Thailand
231,Diversified,Antonia Ax:son Johnson & family,9900000000.0,Sweden
232,Diversified,Liu Yongxing,9900000000.0,China
233,Airbnb,Brian Chesky,9900000000.0,United States
234,"Fertilizer, real estate",Viatcheslav Kantor,9800000000.0,Russia
235,Home Depot,Bernard Marcus,9800000000.0,United States
236,Video surveillance,Gong Hongjia & family,9800000000.0,Hong Kong
237,"Steel, investments",Roman Abramovich & family,9700000000.0,Russia
238,Private equity,Michael Kim,9700000000.0,United States
239,Oil,Carrie Perrodo & family,9700000000.0,France
240,Airbnb,Nathan Blecharczyk,9600000000.0,United States
241,Food delivery,Wang Xing,9600000000.0,China
242,Cable television,John Malone,9600000000.0,United States
243,Diamonds,Nicky Oppenheimer & family,9500000000.0,South Africa
244,Pharmaceuticals,Ludwig Merckle,9500000000.0,Germany
245,Pharmaceuticals,Thomas Struengmann & family,9500000000.0,Germany
245,Pharmaceuticals,Andreas Struengmann & family,9500000000.0,Germany
247,Hedge funds,Christopher Hohn,9500000000.0,United Kingdom
248,"Candy, pet food",Victoria Mars,9500000000.0,United States
248,"Candy, pet food",Valerie Mars,9500000000.0,United States
248,"Candy, pet food",Marijke Mars,9500000000.0,United States
248,"Candy, pet food",Pamela Mars,9500000000.0,United States
252,"Investments, real estate",David Reuben,9400000000.0,United Kingdom
252,"Real estate, investments",Simon Reuben,9400000000.0,United Kingdom
254,Diversified,Shapoor Mistry,9400000000.0,Ireland
255,Energy,Sarath Ratanavadi,9400000000.0,Thailand
256,Petrochemicals,Li Shuirong & family,9400000000.0,China
257,Medical devices,Xu Hang,9300000000.0,Hong Kong
258,Hedge funds,William Ackman,9300000000.0,United States
259,Fertilizers,Andrei Guryev & family,9300000000.0,Russia
260,"Oil and gas, IT, lotteries",Karel Komarek,9300000000.0,Czech Republic
261,Investments,Vincent Bolloré & family,9300000000.0,France
262,"Energy, investments",Daniel Kretinsky,9200000000.0,Czech Republic
263,Private equity,Robert F. Smith,9200000000.0,United States
264,Cryptocurrency,Giancarlo Devasini,9200000000.0,Italy
265,"Entertainment, Houston Rockets",Tilman Fertitta,9200000000.0,United States
266,Apparel,Ralph Lauren,9200000000.0,United States
267,Investments,Francine von Finck & family,9200000000.0,Germany
268,Auto parts,Georg Schaeffler,9100000000.0,Germany
269,Private equity,Tom Gores,9100000000.0,United States
270,"Hotels, investments",Robert Rowling,9100000000.0,United States
271,Online games,Igor Bukhman,9000000000.0,Israel
271,Online games,Dmitri Bukhman,9000000000.0,Israel
273,Food distribution,J. Christopher Reyes,9000000000.0,United States
273,Food distribution,Jude Reyes,9000000000.0,United States
275,Private equity,Ramzi Musallam,9000000000.0,United States
276,Investments,Ken Langone,9000000000.0,United States
277,Diversified,Jim Pattison,8900000000.0,Canada
278,Shipping,Tanya Saadé Zeenny,8900000000.0,France
278,Shipping,Jacques Saadé Jr,8900000000.0,France
278,Shipping,Rodolphe Saadé,8900000000.0,France
281,Business software,Marc Benioff,8900000000.0,United States
282,Airbnb,Joe Gebbia,8900000000.0,United States
283,"Construction, investments",Nassef Sawiris,8900000000.0,Egypt
284,Pharmaceuticals,Zhong Huijuan,8800000000.0,China
285,Real estate,Alexander Otto,8800000000.0,Germany
286,Private equity,Josh Harris,8800000000.0,United States
287,"Banking, property",Quek Leng Chan,8800000000.0,Malaysia
288,Private equity,Orlando Bravo,8700000000.0,United States
289,Pipelines,Richard Kinder,8600000000.0,United States
290,Venture capital,Mark Stevens,8600000000.0,United States
291,"Oil, banking, telecom",German Khan,8600000000.0,Russia
292,Automobiles,Piero Ferrari,8600000000.0,Italy
293,Retail,M.A. Yusuff Ali,8600000000.0,India
294,Cheese,Marie Besnier Beauvalot,8600000000.0,France
294,Cheese,Jean-Michel Besnier,8600000000.0,France
296,"Retail, investments",Gopikishan Damani,8600000000.0,India
297,E-commerce,Joseph Tsai,8500000000.0,Canada
298,Investments,Eric Wittouck,8500000000.0,Belgium
299,Motorcycles,Vikram Lal & family,8500000000.0,India
300,Electronics components,Wang Laisheng,8400000000.0,Hong Kong
301,Beer,Carlos Alberto Sicupira & family,8400000000.0,Brazil
302,Investments,Rekha Jhunjhunwala,8400000000.0,India
303,Pharmaceuticals,Sun Piaoyang,8400000000.0,China
304,Hedge funds,David Shaw,8300000000.000001,United States
305,Smartphone screens,Zhou Qunfei,8300000000.000001,Hong Kong
306,Online gambling,Denise Coates,8300000000.000001,United Kingdom
307,"Mining, metals, machinery",Iskander Makhmudov,8300000000.000001,Russia
308,Mapping software,Jack Dangermond,8199999999.999999,United States
309,Electronics components,Wang Laichun,8199999999.999999,Hong Kong
310,Subway,Elisabeth DeLuca & family,8199999999.999999,United States
311,Diversified,Laurent Dassault,8199999999.999999,France
311,Diversified,Thierry Dassault,8199999999.999999,France
311,Diversified,Marie-Hélène Habert-Dassault,8199999999.999999,France
314,Home Depot,Arthur Blank,8199999999.999999,United States
315,Real estate,Francis Choi,8199999999.999999,Hong Kong
316,Real estate,Leonard Stern,8100000000.0,United States
317,"Manufacturing, investments",Steven Rales,8100000000.0,United States
318,Investments,Carl Bennet,8100000000.0,Sweden
319,Hedge funds,Paul Tudor Jones II,8100000000.0,United States
320,Beverages,Lin Muqin & family,8100000000.0,China
321,Real estate,Ivar Tollefsen,8100000000.0,Norway
322,Venture capital,Douglas Leone,8100000000.0,United States
323,Petrochemicals,Sri Prakash Lohia,8100000000.0,Indonesia
324,Coffee,Michael Herz,8100000000.0,Germany
324,Coffee,Wolfgang Herz,8100000000.0,Germany
326,Banking,Jaime Gilinski Bacal,8100000000.0,Colombia
327,"Gas stations, retail",Jimmy Haslam,8000000000.0,United States
328,"Movies, record labels",David Geffen,8000000000.0,United States
329,Pharmaceuticals,Zhu Yi,8000000000.0,China
330,Pharmaceuticals,Massimiliana Landini Aleotti & family,8000000000.0,Italy
331,Health care,Frederik Paulsen,8000000000.0,Sweden
332,Carnival Cruises,Micky Arison,8000000000.0,United States
333,Shipping,Helmut Sohmen,8000000000.0,Austria
334,"Snacks, beverages",Xu Shihui,7900000000.0,China
335,Diversified,Alejandro Baillères Gual & family,7900000000.0,Mexico
336,Medical equipment,Ronda Stryker,7900000000.0,United States
337,"Retail, real estate",Michael Otto,7900000000.0,Germany
338,Software,Richard White,7900000000.0,Australia
339,Cargill,Pauline MacMillan Keinath,7900000000.0,United States
340,Fintech,Guillaume Pousaz,7800000000.0,Switzerland
341,Pipelines,Randa Duncan Williams,7800000000.0,United States
342,Real estate,Law Kar Po,7700000000.0,Hong Kong
343,Hedge funds,Bruce Kovner,7700000000.0,United States
344,Coal mines,Pavel Tykac,7700000000.0,Czech Republic
345,Real estate,Igor Olenicoff,7700000000.0,United States
346,Pharmaceuticals,Hasmukh Chudgar & family,7700000000.0,India
347,Microsoft,Charles Simonyi,7700000000.0,United States
348,Pipelines,Dannine Avara,7700000000.0,United States
349,Pipelines,Scott Duncan,7700000000.0,United States
349,Pipelines,Milane Frantz,7700000000.0,United States
351,Auto parts,Vivek Chaand Sehgal,7700000000.0,Australia
352,Pharmaceuticals,Murali Divi & family,7700000000.0,India
353,"mining, investment",Agoes Projosasmito,7600000000.0,Indonesia
354,Supermarkets,Charles Butt,7600000000.0,United States
355,IT provider,David Steward,7600000000.0,United States
356,Construction equipment,Anthony Bamford & family,7600000000.0,United Kingdom
357,Cement,Benu Gopal Bangur,7600000000.0,India
358,Natural gas distribution,Wang Yusuo & family,7500000000.0,China
359,"Real estate, investments",Fredrik Lundberg,7500000000.0,Sweden
360,"Real estate, investments",Jeff Greene,7500000000.0,United States
361,"Sun Microsystems, venture capital",Vinod Khosla,7500000000.0,United States
362,"Facebook, investments",Peter Thiel,7400000000.0,United States
363,E-commerce,Tatyana Bakalchuk,7400000000.0,Russia
364,"Metals, investments",Viktor Vekselberg,7400000000.0,Russia
365,Wireless networking,Robert Pera,7400000000.0,United States
366,Healthcare software,Judy Faulkner,7400000000.0,United States
367,Auto loans,Don Hankey,7400000000.0,United States
368,"Textiles, apparel",Ma Jianrong,7400000000.0,China
369,Medical equipment,John Brown,7400000000.0,United States
370,Investments,Jonathan Gray,7300000000.0,United States
371,Convinience stores,Alain Bouchard,7300000000.0,Canada
372,Chemicals,Magdalena Martullo-Blocher,7300000000.0,Switzerland
373,Hedge funds,David Siegel,7300000000.0,United States
373,Hedge funds,John Overdeck,7300000000.0,United States
375,Chemicals,Rahel Blocher,7300000000.0,Switzerland
376,Auto parts,Juergen Blickle,7300000000.0,Germany
377,Aviation,Rahul Bhatia,7300000000.0,India
378,Frozen foods,Robert Rich Jr,7200000000.0,United States
379,Investments,Nadia Thiele,7200000000.0,Germany
380,Cruises,Torstein Hagen,7200000000.0,Norway
381,"Oil, real estate",Ray Lee Hunt,7200000000.0,United States
382,Telecom,Rocco Commisso,7200000000.0,United States
383,Hedge funds,Andreas Halvorsen,7200000000.0,Norway
384,Cement,Thomas Schmidheiny,7200000000.0,Switzerland
385,Payment software,Patrick Collison,7200000000.0,Ireland
385,Payment software,John Collison,7200000000.0,Ireland
387,Packaging,Finn Rausing,7100000000.0,Sweden
388,Packaging,Kirsten Rausing,7100000000.0,Sweden
388,Packaging,Jorn Rausing,7100000000.0,Sweden
390,Alcoholic beverages,Anthony von Mandl,7100000000.0,Canada
391,Soy sauce,Pang Kang,7100000000.0,China
392,"Construction, mining",Dennis Washington,7100000000.0,United States
393,Spotify,Martin Lorentzon,7000000000.0,Sweden
394,Electronics,Jason Chang,7000000000.0,Singapore
395,Chemicals,Chen Jianhua,7000000000.0,China
396,Real Estate,Philip Ng,7000000000.0,Singapore
397,Telecom,Rakesh Mittal,7000000000.0,India
398,Telecom,Rajan Mittal,7000000000.0,India
399,Vaccines,Jiang Rensheng & family,7000000000.0,China
400,Medical devices,Reinhold Schmieding,7000000000.0,United States
401,Finance,Jean Salata,7000000000.0,Chile
402,"Trading, investments",Arthur Dantchik,7000000000.0,United States
403,Gambling,Johann Graf,7000000000.0,Austria
404,Agribusiness,Liu Hanyuan,7000000000.0,China
405,Biotech,Seo Jung-jin,7000000000.0,South Korea
406,"Staffing, Baltimore Ravens",Stephen Bisciotti,7000000000.0,United States
407,"Homebuilding, insurance",Edythe Broad & family,7000000000.0,United States
408,Private equity,John Grayken,6900000000.0,Ireland
409,Real estate,Robert Ng,6900000000.0,Singapore
410,Pharmaceuticals,Viktor Kharitonin,6900000000.0,Russia
411,Real estate,Edward Roski Jr,6900000000.0,United States
412,Banking,Luis Carlos Sarmiento,6900000000.0,Colombia
413,Natural gas,Terrence Pegula,6800000000.0,United States
414,IT provider,Thai Lee,6800000000.0,United States
415,"Pharmaceuticals, power",Samir Mehta,6800000000.0,India
416,"Pharmaceuticals, power",Sudhir Mehta,6800000000.0,India
417,Private equity,Marc Rowan,6800000000.0,United States
418,"Retail, real estate",Nathan Kirsh,6800000000.0,Eswatini (Swaziland)
419,"Banking, minerals",Fernando Roberto Moreira Salles,6800000000.0,Brazil
420,Electronics,Pierre Chen,6800000000.0,Taiwan
421,Telecom,Patrick Drahi,6800000000.0,France
422,Investments,Eric Douglas,6700000000.0,Sweden
423,Investments,Michal Solowow,6700000000.0,Poland
424,Metals and mining,Andrei Skoch & family,6700000000.0,Russia
425,"Oil, banking, telecom",Alexei Kuzmichev,6700000000.0,Russia
426,"Telecom, oil",Mike Adenuga,6700000000.0,Nigeria
427,Real estate,Neil Bluhm,6700000000.0,United States
428,Hedge funds,George Soros,6700000000.0,United States
429,Investments,Carl Douglas,6700000000.0,Sweden
430,Pest control,Gary Rollins,6700000000.0,United States
431,In-N-Out Burger,Lynsi Snyder,6700000000.0,United States
432,"Hotels, investments",Karen Pritzker,6600000000.0,United States
433,Hydraulic machinery,Wang Liping & family,6600000000.0,China
434,Batteries,Pei Zhenhua,6600000000.0,China
435,Packaging materials,Elizabeth Uihlein,6600000000.0,United States
435,Packaging materials,Richard Uihlein,6600000000.0,United States
437,"Hotels, investments",Thomas Pritzker,6600000000.0,United States
438,"Heating, cooling equipment",Maximilian Viessmann,6500000000.0,Germany
439,Real estate,Radovan Vitek,6500000000.0,Czech Republic
440,E-commerce,Marcos Galperin,6500000000.0,Argentina
441,Real estate,Wu Yajun,6500000000.0,China
442,Sports apparel,Ding Shizhong,6500000000.0,China
443,Insurance,Thomas Hagen,6500000000.0,United States
444,Investments,Michael Milken,6500000000.0,United States
445,Power strips,Ruan Liping,6500000000.0,Hong Kong
446,Investments,Frank Lowy,6500000000.0,Australia
447,Supermarkets,Mark Meijer & family,6500000000.0,United States
448,Supermarkets,Hank Meijer & family,6500000000.0,United States
449,Supermarkets,Doug Meijer & family,6500000000.0,United States
450,Power strip,Ruan Xueping,6500000000.0,Hong Kong
451,"Steel, mining",Alexander Abramov,6400000000.0,Russia
452,Beverages,Don Vultaggio & family,6400000000.0,United States
453,Gambling software,Teddy Sagi,6400000000.0,Israel
454,Investments,Joe Lewis,6400000000.0,United Kingdom
455,Shipping,Maria Angelicoussis,6400000000.0,Greece
456,"Plush toys, real estate",Ty Warner,6400000000.0,United States
457,Lego,Agnete Kirk Thinggaard,6400000000.0,Denmark
457,Lego,Thomas Kirk Kristiansen,6400000000.0,Denmark
457,Lego,Sofie Kirk Kristiansen,6400000000.0,Denmark
460,Pharmaceuticals,Patrick Soon-Shiong,6400000000.0,United States
461,"Banking, minerals",Pedro Moreira Salles,6400000000.0,Brazil
462,Fertilizer,Dmitry Rybolovlev & family,6400000000.0,Russia
463,Medical devices,Niels Peter Louis-Hansen,6400000000.0,Denmark
464,"Hotels, energy",Michael Kadoorie,6400000000.0,Hong Kong
465,"Energy, investments",Maria Fernanda Amorim & family,6300000000.0,Portugal
466,Hospitals,Chen Bang,6300000000.0,China
467,Personal care goods,Takahisa Takahara,6300000000.0,Japan
468,"EBay, PayPal",Pierre Omidyar,6300000000.0,United States
469,Construction equipment,Liang Wengen,6300000000.0,China
470,Fintech,Vyacheslav Kim,6300000000.0,Kazakhstan
471,New Balance,Jim Davis & family,6300000000.0,United States
472,Real estate,Annette Lerner & family,6300000000.0,United States
473,Pharmaceuticals,Wolfgang Marguerre & family,6300000000.0,Germany
474,Real estate,Wang Jianlin,6300000000.0,China
475,Metalworking tools,Stef Wertheimer & family,6300000000.0,Israel
476,Polyurethanes,You Xiaoping & family,6200000000.0,China
477,Vodka,Bert Beveridge,6200000000.0,United States
478,Private equity,David Bonderman,6200000000.0,United States
479,Sports apparel,Ding Shijia,6200000000.0,China
480,"Beer, investments",Maria Asuncion Aramburuzabala & family,6200000000.0,Mexico
481,Smartphones,Bin Lin,6200000000.0,United States
